Fabric,Season,SkinTone,Weather,WorkLevel
Wool,Winter,Dark,Cold,High
Cotton,Summer,Medium,Dry,Low
Linen,Rainy,Dark,Cold,High
Cotton,Summer,Medium,Cold,Low
Linen,Summer,Medium,Dry,Medium
Cotton,Summer,Medium,Cold,Medium
Linen,Summer,Medium,Humid,Low
Linen,Summer,Dark,Humid,Medium
Cotton,Summer,Medium,Cold,High
Linen,Rainy,Dark,Hot,High
Linen,Winter,Dark,Hot,Medium
Polyester,Winter,Dark,Hot,High
Cotton,Rainy,Dark,Dry,Medium
Cotton,Rainy,Medium,Hot,Low
Linen,Rainy,Medium,Dry,High
Linen,Summer,Medium,Cold,Low
Linen,Rainy,Dark,Cold,High
Linen,Winter,Fair,Hot,Medium
Polyester,Summer,Medium,Hot,High
Polyester,Winter,Medium,Humid,High
Cotton,Summer,Medium,Cold,Low
Linen,Rainy,Dark,Hot,Low
Nylon,Rainy,Dark,Humid,Medium
Cotton,Summer,Dark,Dry,Medium
Rayon,Summer,Dark,Dry,Medium
Linen,Summer,Medium,Cold,High
Cotton,Summer,Fair,Hot,Medium
Polyester,Summer,Dark,Humid,Medium
Cotton,Summer,Fair,Dry,Medium
Cotton,Summer,Medium,Hot,Low
Rayon,Summer,Dark,Dry,Medium
Linen,Winter,Medium,Humid,High
Polyester,Rainy,Dark,Dry,Low
Cotton,Rainy,Dark,Dry,High
Velvet,Winter,Dark,Cold,Low
Polyester,Winter,Medium,Cold,Medium
Georgette,Rainy,Fair,Humid,Low
Cotton,Rainy,Fair,Cold,High
Linen,Summer,Dark,Cold,Low
Linen,Rainy,Medium,Hot,High
Wool,Winter,Medium,Cold,Medium
Cotton,Rainy,Fair,Hot,High
Polyester,Winter,Medium,Cold,Low
Cotton,Rainy,Fair,Cold,High
Polyester,Summer,Dark,Hot,High
Polyester,Summer,Medium,Dry,High
Polyester,Winter,Fair,Humid,Low
Polyester,Winter,Dark,Hot,Medium
Linen,Rainy,Dark,Dry,Medium
Linen,Rainy,Dark,Hot,High
Polyester,Rainy,Medium,Cold,Medium
Polyester,Rainy,Fair,Humid,High
Linen,Rainy,Fair,Dry,Medium
Polyester,Summer,Fair,Humid,High
Polyester,Rainy,Dark,Cold,Low
Cotton,Rainy,Dark,Hot,High
Cotton,Rainy,Fair,Cold,Medium
Linen,Rainy,Fair,Dry,Medium
Polyester,Rainy,Dark,Cold,Medium
Polyester,Winter,Medium,Cold,Medium
Linen,Winter,Medium,Humid,Medium
Wool,Winter,Dark,Cold,Medium
Rayon,Summer,Fair,Hot,Medium
Polyester,Winter,Fair,Hot,Low
Wool,Winter,Dark,Dry,Low
Linen,Winter,Dark,Hot,Low
Cotton,Rainy,Fair,Hot,High
Polyester,Winter,Medium,Cold,Medium
Polyester,Rainy,Medium,Hot,Low
Cotton,Summer,Medium,Hot,High
Cotton,Rainy,Medium,Dry,Low
Polyester,Summer,Dark,Cold,Low
Cotton,Summer,Fair,Cold,High
Linen,Rainy,Fair,Dry,Low
Polyester,Rainy,Medium,Cold,Medium
Wool,Winter,Medium,Cold,High
Polyester,Winter,Dark,Dry,Medium
Chiffon,Summer,Dark,Hot,Low
Cotton,Summer,Fair,Humid,Low
Polyester,Winter,Fair,Hot,Low
Rayon,Summer,Medium,Hot,Medium
Cotton,Winter,Fair,Hot,High
Polyester,Winter,Medium,Humid,Low
Polyester,Summer,Fair,Hot,High
Cotton,Summer,Medium,Cold,Medium
Linen,Winter,Fair,Hot,High
Cotton,Summer,Dark,Humid,High
Linen,Winter,Medium,Humid,Low
Linen,Rainy,Dark,Cold,Low
Satin,Rainy,Medium,Humid,Medium
Linen,Summer,Dark,Humid,Low
Wool,Winter,Dark,Dry,High
Cotton,Summer,Medium,Dry,Medium
Linen,Summer,Fair,Cold,High
Cotton,Summer,Dark,Humid,Low
Linen,Summer,Medium,Cold,Low
Polyester,Rainy,Medium,Dry,Medium
Cotton,Rainy,Fair,Cold,Low
Satin,Rainy,Dark,Humid,Low
Rayon,Summer,Fair,Dry,Low
Polyester,Summer,Dark,Cold,High
Polyester,Rainy,Dark,Hot,Medium
Wool,Winter,Dark,Cold,High
Polyester,Rainy,Fair,Cold,High
Polyester,Winter,Medium,Humid,High
Cotton,Winter,Dark,Hot,High
Velvet,Winter,Fair,Dry,Medium
Linen,Summer,Dark,Dry,Medium
Polyester,Summer,Fair,Humid,Medium
Polyester,Rainy,Fair,Hot,Medium
Cotton,Summer,Fair,Dry,Medium
Denim,Winter,Fair,Dry,High
Polyester,Winter,Fair,Dry,Medium
Polyester,Rainy,Medium,Hot,Medium
Rayon,Summer,Medium,Dry,Low
Linen,Winter,Fair,Hot,High
Rayon,Rainy,Medium,Humid,Medium
Denim,Winter,Medium,Cold,High
Linen,Winter,Fair,Humid,Medium
Cotton,Summer,Fair,Dry,Low
Linen,Winter,Medium,Hot,Low
Polyester,Rainy,Fair,Dry,High
Polyester,Summer,Fair,Humid,High
Cotton,Rainy,Dark,Hot,Medium
Cotton,Summer,Fair,Hot,High
Polyester,Winter,Medium,Cold,Low
Rayon,Rainy,Dark,Humid,Medium
Rayon,Summer,Dark,Dry,Low
Denim,Winter,Fair,Dry,High
Linen,Rainy,Medium,Hot,High
Polyester,Winter,Medium,Dry,Low
Cotton,Rainy,Dark,Hot,Low
Polyester,Rainy,Fair,Cold,High
Cotton,Summer,Medium,Cold,High
Polyester,Rainy,Medium,Dry,Medium
Cotton,Summer,Fair,Humid,Medium
Linen,Summer,Fair,Humid,Low
Cotton,Winter,Medium,Hot,Medium
Polyester,Winter,Fair,Cold,Medium
Wool,Winter,Medium,Cold,Medium
Polyester,Winter,Dark,Hot,Medium
Cotton,Summer,Dark,Hot,Low
Cotton,Summer,Dark,Dry,Medium
Polyester,Rainy,Medium,Hot,High
Linen,Summer,Medium,Hot,Medium
Polyester,Winter,Dark,Humid,Medium
Wool,Winter,Dark,Cold,High
Linen,Rainy,Fair,Hot,High
Rayon,Summer,Dark,Hot,Medium
Cotton,Rainy,Medium,Dry,Medium
Cotton,Summer,Fair,Cold,Low
Polyester,Summer,Dark,Dry,High
Wool,Winter,Dark,Cold,Medium
Polyester,Summer,Dark,Humid,High
Linen,Summer,Dark,Hot,Medium
Cotton,Summer,Fair,Cold,High
Polyester,Rainy,Dark,Humid,High
Linen,Rainy,Dark,Cold,High
Linen,Rainy,Fair,Dry,Low
Nylon,Rainy,Dark,Humid,Medium
Nylon,Rainy,Dark,Humid,High
Polyester,Winter,Fair,Humid,High
Polyester,Summer,Dark,Hot,High
Wool,Winter,Medium,Cold,Medium
Rayon,Summer,Dark,Dry,Low
Polyester,Rainy,Medium,Humid,High
Polyester,Rainy,Fair,Dry,High
Cotton,Winter,Fair,Hot,Medium
Cotton,Summer,Fair,Cold,High
Polyester,Summer,Dark,Dry,High
Cotton,Winter,Medium,Humid,High
Cotton,Summer,Dark,Hot,Medium
Linen,Summer,Medium,Dry,Medium
Cotton,Winter,Dark,Hot,High
Linen,Rainy,Fair,Hot,Medium
Wool,Winter,Medium,Dry,Medium
Cotton,Rainy,Dark,Dry,High
Velvet,Winter,Fair,Cold,High
Cotton,Summer,Dark,Humid,Low
Polyester,Winter,Medium,Hot,Low
Satin,Rainy,Medium,Humid,Medium
Cotton,Summer,Medium,Dry,High
Linen,Rainy,Dark,Cold,Medium
Cotton,Summer,Dark,Hot,Low
Chiffon,Summer,Medium,Dry,Low
Rayon,Summer,Dark,Dry,Medium
Cotton,Rainy,Dark,Hot,Medium
Polyester,Rainy,Fair,Cold,Medium
Polyester,Summer,Fair,Humid,Medium
Linen,Rainy,Fair,Dry,High
Linen,Summer,Medium,Cold,Medium
Linen,Rainy,Fair,Hot,Medium
Polyester,Winter,Dark,Cold,Medium
Linen,Winter,Fair,Hot,Medium
Linen,Summer,Fair,Cold,Medium
Velvet,Winter,Fair,Dry,Medium
Cotton,Rainy,Dark,Dry,High
Rayon,Summer,Medium,Dry,Medium
Wool,Winter,Fair,Dry,Medium
Cotton,Summer,Medium,Hot,Medium
Silk,Rainy,Dark,Humid,Low
Polyester,Rainy,Fair,Humid,High
Linen,Rainy,Medium,Dry,High
Polyester,Summer,Dark,Humid,High
Polyester,Rainy,Medium,Hot,High
Silk,Rainy,Medium,Humid,Low
Polyester,Summer,Dark,Cold,Low
Polyester,Winter,Medium,Cold,Medium
Chiffon,Summer,Fair,Dry,Low
Polyester,Rainy,Medium,Dry,Medium
Rayon,Summer,Fair,Hot,Medium
Cotton,Winter,Dark,Humid,Medium
Chiffon,Summer,Medium,Hot,Low
Velvet,Winter,Dark,Dry,Medium
Cotton,Rainy,Medium,Cold,Medium
Linen,Winter,Fair,Hot,High
Rayon,Summer,Dark,Dry,Low
Rayon,Rainy,Dark,Humid,Medium
Cotton,Rainy,Medium,Cold,High
Cotton,Summer,Dark,Hot,High
Linen,Rainy,Fair,Dry,Medium
Polyester,Winter,Dark,Humid,High
Cotton,Winter,Fair,Hot,High
Silk,Rainy,Fair,Humid,Low
Velvet,Winter,Medium,Cold,Low
Linen,Summer,Medium,Humid,Medium
Rayon,Rainy,Dark,Humid,Medium
Linen,Winter,Dark,Humid,Low
Polyester,Rainy,Dark,Cold,Low
Linen,Rainy,Fair,Dry,High
Rayon,Rainy,Dark,Humid,Medium
Linen,Summer,Medium,Humid,High
Polyester,Rainy,Dark,Hot,Low
Nylon,Rainy,Dark,Humid,High
Linen,Rainy,Dark,Cold,High
Denim,Winter,Dark,Dry,High
Cotton,Winter,Dark,Humid,High
Velvet,Winter,Dark,Cold,High
Polyester,Winter,Dark,Hot,Low
Linen,Winter,Dark,Hot,Medium
Cotton,Summer,Fair,Hot,Medium
Cotton,Rainy,Dark,Hot,High
Polyester,Summer,Dark,Dry,High
Georgette,Rainy,Medium,Humid,Low
Denim,Winter,Medium,Dry,High
Polyester,Summer,Fair,Dry,High
Cotton,Summer,Medium,Hot,Medium
Cotton,Summer,Fair,Cold,Medium
Cotton,Winter,Fair,Humid,Medium
Polyester,Rainy,Dark,Cold,Low
Polyester,Winter,Fair,Dry,Medium
Chiffon,Summer,Dark,Dry,Low
Wool,Winter,Medium,Dry,High
Linen,Rainy,Dark,Hot,Medium
Linen,Rainy,Dark,Dry,Low
Wool,Winter,Dark,Cold,Medium
Linen,Summer,Dark,Humid,Low
Cotton,Summer,Fair,Humid,High
Linen,Winter,Dark,Hot,Medium
Polyester,Rainy,Fair,Humid,High
Denim,Winter,Dark,Cold,High
Polyester,Summer,Medium,Humid,Medium
Linen,Rainy,Dark,Hot,High
Linen,Rainy,Dark,Hot,High
Wool,Winter,Medium,Dry,Medium
Georgette,Rainy,Medium,Humid,Low
Cotton,Summer,Dark,Hot,High
Cotton,Winter,Medium,Hot,Medium
Linen,Summer,Medium,Dry,Medium
Polyester,Winter,Dark,Humid,Low
Polyester,Rainy,Fair,Hot,Low
Polyester,Winter,Fair,Humid,High
Cotton,Winter,Fair,Humid,High
Wool,Winter,Medium,Dry,High
Linen,Winter,Dark,Hot,High
Polyester,Summer,Medium,Hot,High
Polyester,Rainy,Dark,Dry,Low
Polyester,Summer,Dark,Dry,High
Cotton,Winter,Fair,Hot,Medium
Velvet,Winter,Fair,Dry,Low
Linen,Winter,Dark,Hot,Medium
Polyester,Summer,Medium,Humid,Medium
Wool,Winter,Medium,Dry,High
Polyester,Summer,Medium,Hot,High
Satin,Rainy,Fair,Humid,Low
Georgette,Rainy,Fair,Humid,Low
Cotton,Summer,Fair,Hot,Low
Polyester,Summer,Dark,Cold,Low
Cotton,Winter,Fair,Humid,High
Linen,Rainy,Dark,Dry,Low
Wool,Winter,Medium,Dry,Medium
Polyester,Winter,Dark,Humid,Low
Polyester,Rainy,Fair,Cold,High
Velvet,Winter,Medium,Dry,Medium
Linen,Summer,Fair,Humid,High
Linen,Winter,Medium,Humid,Low
Polyester,Summer,Dark,Dry,High
Cotton,Summer,Fair,Dry,Medium
Silk,Rainy,Dark,Humid,Low
Silk,Rainy,Medium,Humid,Low
Polyester,Rainy,Medium,Cold,High
Linen,Winter,Fair,Hot,Medium
Wool,Winter,Medium,Dry,High
Velvet,Winter,Fair,Cold,Low
Nylon,Rainy,Fair,Humid,High
Wool,Winter,Fair,Dry,High
Polyester,Rainy,Medium,Hot,Medium
Linen,Summer,Medium,Hot,Medium
Velvet,Winter,Fair,Cold,Medium
Denim,Winter,Medium,Dry,High
Polyester,Rainy,Dark,Humid,High
Linen,Rainy,Fair,Dry,Low
Linen,Winter,Dark,Humid,Low
Denim,Winter,Dark,Dry,High
Cotton,Winter,Fair,Humid,Low
Georgette,Rainy,Medium,Humid,Low
Velvet,Winter,Dark,Cold,Low
Linen,Rainy,Medium,Cold,Medium
Velvet,Winter,Dark,Dry,High
Cotton,Winter,Medium,Humid,High
Cotton,Winter,Medium,Hot,Low
Cotton,Winter,Medium,Hot,High
Cotton,Summer,Dark,Cold,High
Cotton,Rainy,Fair,Cold,Low
Rayon,Summer,Dark,Dry,Low
Velvet,Winter,Fair,Cold,High
Chiffon,Summer,Medium,Dry,Low
Polyester,Summer,Medium,Humid,Low
Wool,Winter,Medium,Dry,High
Cotton,Rainy,Fair,Hot,High
Polyester,Summer,Dark,Humid,High
Cotton,Rainy,Medium,Cold,Low
Satin,Rainy,Fair,Humid,Low
Linen,Winter,Medium,Humid,Medium
Polyester,Summer,Fair,Cold,Medium
Polyester,Rainy,Dark,Dry,High
Cotton,Summer,Medium,Hot,High
Polyester,Rainy,Fair,Hot,Low
Cotton,Summer,Fair,Dry,Medium
Polyester,Summer,Medium,Humid,High
Cotton,Summer,Fair,Hot,Low
Cotton,Rainy,Dark,Cold,Medium
Cotton,Rainy,Medium,Hot,Low
Nylon,Rainy,Dark,Humid,High
Wool,Winter,Dark,Cold,High
Linen,Rainy,Dark,Cold,Medium
Polyester,Winter,Dark,Hot,Medium
Polyester,Summer,Dark,Dry,High
Polyester,Summer,Medium,Cold,Low
Denim,Winter,Medium,Cold,High
Polyester,Rainy,Fair,Cold,High
Polyester,Summer,Medium,Cold,High
Linen,Rainy,Dark,Dry,High
Velvet,Winter,Dark,Dry,High
Cotton,Summer,Dark,Hot,Medium
Polyester,Summer,Medium,Humid,High
Polyester,Summer,Dark,Cold,Medium
Linen,Summer,Dark,Hot,Medium
Cotton,Winter,Medium,Humid,Medium
Polyester,Rainy,Medium,Hot,Low
Polyester,Winter,Dark,Humid,Medium
Cotton,Rainy,Dark,Hot,High
